Title,Author,Genre,My_Rating,Average_Rating,Pages,Original_Publication_Year,Date_Read,Month,Day,Year,Date_Added,SeasonColours,rating_gap
Love with a Chance of Drowning,Torre DeRoche,Non-fiction,5,4.08,352,2011,8/23/2023,8,23,2023,2023/08/21,#0571b0,0.92
Open,Andre Agassi,Non-fiction,4,4.3,388,2009,8/18/2023,8,18,2023,2023/08/18,#0571b0,-0.3
American Gods,Neil Gaiman,Fantasy,5,4.11,635,2001,8/6/2023,8,6,2023,2023/08/06,#0571b0,0.89
Disappearing Earth,Julia  Phillips,Lit-fic,5,3.85,312,2019,6/23/2023,6,23,2023,2023/06/23,#0571b0,1.15
Happy Place,Emily Henry,Lit-fic,2,4.06,400,2023,6/23/2023,6,23,2023,2023/06/23,#0571b0,-2.06
Marshmallow,Victoria Hannan,Lit-fic,5,3.96,320,2022,6/18/2023,6,18,2023,2023/06/18,#0571b0,1.04
The Palace Papers: Inside the House of Windsor - the Truth and the Turmoil,Tina  Brown,Non-fiction,3,4.04,571,2022,6/12/2023,6,12,2023,2023/06/12,#0571b0,-1.04
What I Talk About When I Talk About Running,Haruki Murakami,Non-fiction,5,3.87,188,2007,6/11/2023,6,11,2023,2023/06/11,#0571b0,1.13
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,Non-fiction,4,4.36,319,2018,6/6/2023,6,6,2023,2023/06/06,#0571b0,-0.36
Sapiens: A Brief History of Humankind,Yuval Noah Harari,Non-fiction,4,4.37,512,2011,6/5/2023,6,5,2023,2023/06/05,#0571b0,-0.37
New Animal,Ella Baxter,Lit-fic,5,3.41,240,2021,6/2/2023,6,2,2023,2023/06/02,#0571b0,1.59
Romantic Comedy,Curtis Sittenfeld,Lit-fic,3,3.69,309,2023,5/28/2023,5,28,2023,2023/05/28,#92c5de,-0.69
Shoe Dog: A Memoir by the Creator of Nike,Phil Knight,Non-fiction,0,4.47,400,2016,5/21/2023,5,21,2023,2023/05/21,#92c5de,-4.47
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,Lit-fic,4,4.2,401,2022,5/4/2023,5,4,2023,2023/01/24,#92c5de,-0.2
Infidelity and Other Affairs,Kate Legge,Non-fiction,0,3.42,204,NA,4/22/2023,4,22,2023,2023/04/22,#92c5de,-3.42
The Seven Deaths of Evelyn Hardcastle,Stuart Turton,Lit-fic,4,3.84,505,2018,10/22/2018,10,22,2018,2018/05/31,#f4a582,0.16
Birnam Wood,Eleanor Catton,Lit-fic,3,3.84,432,2023,4/11/2023,4,11,2023,2023/04/11,#92c5de,-0.84
